Edad,Género,Obesidad,Ingresos familiares promedio,Tamaño de la familia,Título educativo del padre,Título educativo de la madre,Estado civil de los padres,Horas de estudio,Estado residencial,Tipo de familia,Número de niños que viven juntos en casa,Educación de género,Categoría de escuelas,Número promedio de días de ausencia,Distancia entre el hogar y la escuela,Número promedio de días de retraso,Modo de desplazamiento a la escuela,Rendimiento académico previo,Estrés,Actividad física,Ingesta de alimentos,Consumo de tabaco,Consumo de alcohol por semana,Tipo de comportamiento,Pensamiento positivo u optimista,Sentirse tenso o incómodo,Sentirse triste o deprimido,Rendimiento académico
adolescencia media,masculino,sí,clase media-alta,pequeño,secundaria,preparatoria,casado,2.3,albergue,conjunto,6,mixto,público,0,más de 5 km,nunca,a pie,bajo,grave,ocasional,nunca,ocasional,regular,casi siempre,a veces,casi siempre,rara vez,bajo
adolescencia tardía,femenino,sí,clase baja,pequeño,preparatoria,licenciatura,viudo,4.0,con familiares,conjunto,5,unisexo,privado,3,1–3 km,una vez a la semana,transporte público,bajo,muy poco estrés,ocasional,nunca,regular,nunca,bastante a menudo,a veces,rara vez,algunas veces,bajo
adolescencia tardía,femenino,no,clase media-alta,pequeño,sin educación,posgrado,casado,1.8,con padres,conjunto,5,mixto,público,4,más de 5 km,dos veces a la semana,a pie,moderado,leve,ocasional,regular,ocasional,nunca,bastante a menudo,casi siempre,algunas veces,algunas veces,bajo
adolescencia media,masculino,no,clase baja,mediano,secundaria,licenciatura,divorciado,0.8,con familiares,nuclear,1,unisexo,público,6,1–3 km,casi todos los días,transporte privado,moderado,mayor,regular,regular,nunca,nunca,rara vez,bastante a menudo,algunas veces,algunas veces,bajo
adolescencia media,femenino,sí,clase media-baja,pequeño,secundaria,primaria,divorciado,2.4,con familiares,conjunto,4,unisexo,privado,3,menos de 1 km,dos veces a la semana,a pie,moderado,muy poco estrés,nunca,nunca,nunca,nunca,casi siempre,a veces,rara vez,casi siempre,bajo
adolescencia tardía,masculino,sí,alta,grande,primaria,secundaria,viudo,4.2,con padres,conjunto,5,mixto,público,4,menos de 1 km,dos veces a la semana,a pie,alto,mayor,regular,ocasional,ocasional,nunca,bastante a menudo,casi nunca,rara vez,rara vez,moderado
otros,masculino,sí,clase media-baja,grande,primaria,primaria,casado,2.8,albergue,conjunto,3,mixto,privado,1,menos de 1 km,dos veces a la semana,transporte privado,bajo,leve,nunca,ocasional,nunca,ocasional,bastante a menudo,casi siempre,casi siempre,casi siempre,bajo
adolescencia temprana,masculino,no,alta,pequeño,primaria,licenciatura,divorciado,1.5,albergue,conjunto,2,unisexo,privado,5,1–3 km,dos veces a la semana,transporte público,bajo,leve,nunca,regular,nunca,regular,casi siempre,casi siempre,algunas veces,algunas veces,bajo
adolescencia temprana,masculino,sí,clase baja,grande,secundaria,licenciatura,viudo,2.7,albergue,conjunto,6,unisexo,público,5,menos de 1 km,casi todos los días,a pie,bajo,muy poco estrés,nunca,nunca,regular,regular,casi siempre,casi nunca,bastante a menudo,rara vez,bajo
otros,masculino,no,clase media-baja,pequeño,licenciatura,sin educación,divorciado,3.8,con padres,nuclear,1,mixto,público,5,más de 5 km,dos veces a la semana,transporte privado,bajo,muy poco estrés,nunca,ocasional,ocasional,regular,casi siempre,bastante a menudo,rara vez,bastante a menudo,bajo
adolescencia tardía,femenino,no,alta,pequeño,licenciatura,licenciatura,viudo,3.1,con padres,nuclear,5,unisexo,privado,6,más de 5 km,nunca,transporte público,alto,moderado,nunca,nunca,nunca,nunca,casi nunca,bastante a menudo,casi siempre,casi nunca,moderado
adolescencia tardía,masculino,sí,alta,mediano,sin educación,preparatoria,casado,1.8,con familiares,conjunto,4,mixto,público,3,3–5 km,una vez a la semana,transporte público,moderado,leve,regular,ocasional,ocasional,nunca,casi nunca,casi nunca,bastante a menudo,bastante a menudo,bajo
adolescencia media,masculino,no,clase media-baja,grande,preparatoria,preparatoria,soltero,1.2,con padres,conjunto,1,unisexo,público,2,1–3 km,dos veces a la semana,transporte privado,moderado,muy poco estrés,nunca,ocasional,nunca,nunca,rara vez,casi siempre,casi nunca,rara vez,bajo
adolescencia tardía,masculino,no,clase media-alta,mediano,posgrado,sin educación,casado,3.4,con padres,nuclear,5,unisexo,privado,2,3–5 km,casi todos los días,transporte público,alto,muy poco estrés,regular,ocasional,nunca,regular,rara vez,bastante a menudo,casi siempre,bastante a menudo,moderado
otros,femenino,no,alta,grande,sin educación,secundaria,viudo,2.8,con familiares,conjunto,6,mixto,público,2,1–3 km,casi todos los días,transporte público,moderado,moderado,ocasional,ocasional,regular,ocasional,rara vez,rara vez,rara vez,casi siempre,moderado
adolescencia temprana,masculino,sí,clase media-baja,grande,sin educación,sin educación,divorciado,2.3,con familiares,nuclear,2,unisexo,privado,2,menos de 1 km,casi todos los días,transporte privado,alto,moderado,ocasional,nunca,ocasional,regular,casi siempre,casi nunca,rara vez,algunas veces,bajo
otros,masculino,no,clase media-baja,grande,posgrado,preparatoria,casado,2.4,con familiares,nuclear,6,unisexo,público,1,más de 5 km,una vez a la semana,transporte público,bajo,leve,regular,regular,regular,nunca,casi nunca,a veces,casi siempre,rara vez,bajo
adolescencia media,femenino,sí,clase baja,grande,primaria,posgrado,divorciado,3.0,con familiares,nuclear,6,mixto,privado,2,menos de 1 km,nunca,a pie,alto,mayor,ocasional,ocasional,regular,nunca,algunas veces,casi nunca,casi nunca,rara vez,moderado
otros,masculino,no,clase baja,grande,preparatoria,licenciatura,divorciado,0.5,albergue,conjunto,2,unisexo,público,4,1–3 km,una vez a la semana,a pie,moderado,muy poco estrés,ocasional,regular,ocasional,ocasional,rara vez,a veces,casi nunca,algunas veces,bajo
adolescencia media,masculino,sí,clase baja,pequeño,licenciatura,posgrado,viudo,4.0,con familiares,nuclear,1,mixto,privado,3,menos de 1 km,dos veces a la semana,transporte público,moderado,mayor,nunca,nunca,regular,regular,casi nunca,casi nunca,casi nunca,rara vez,moderado
adolescencia tardía,masculino,no,alta,pequeño,secundaria,secundaria,soltero,3.4,con familiares,conjunto,5,mixto,privado,6,menos de 1 km,nunca,transporte privado,alto,mayor,ocasional,regular,nunca,ocasional,casi nunca,casi siempre,rara vez,algunas veces,moderado
adolescencia temprana,masculino,sí,clase baja,mediano,sin educación,licenciatura,soltero,3.1,con padres,nuclear,1,unisexo,público,9,3–5 km,dos veces a la semana,transporte privado,moderado,grave,regular,regular,nunca,ocasional,casi nunca,casi siempre,rara vez,rara vez,moderado
adolescencia tardía,masculino,no,alta,mediano,primaria,licenciatura,casado,2.8,con padres,conjunto,5,unisexo,público,5,menos de 1 km,nunca,transporte público,moderado,leve,regular,nunca,ocasional,nunca,algunas veces,casi siempre,bastante a menudo,casi siempre,moderado
otros,femenino,no,clase baja,grande,sin educación,sin educación,viudo,3.3,con familiares,nuclear,6,unisexo,público,4,3–5 km,nunca,a pie,moderado,leve,ocasional,nunca,regular,regular,casi nunca,bastante a menudo,casi siempre,casi siempre,moderado
adolescencia tardía,masculino,sí,clase media-baja,mediano,posgrado,licenciatura,soltero,4.9,con padres,conjunto,2,unisexo,privado,5,1–3 km,nunca,a pie,bajo,moderado,ocasional,regular,nunca,nunca,rara vez,casi nunca,casi siempre,bastante a menudo,bajo
adolescencia media,masculino,no,clase media-alta,grande,primaria,primaria,divorciado,2.1,con padres,conjunto,3,unisexo,privado,4,3–5 km,dos veces a la semana,transporte público,moderado,moderado,regular,nunca,nunca,nunca,casi siempre,casi nunca,casi nunca,rara vez,bajo
adolescencia temprana,femenino,sí,clase media-alta,pequeño,primaria,primaria,soltero,2.7,con familiares,conjunto,6,unisexo,privado,4,1–3 km,nunca,transporte privado,moderado,mayor,nunca,ocasional,regular,regular,casi siempre,a veces,casi siempre,algunas veces,moderado
otros,femenino,no,clase media-alta,grande,primaria,secundaria,soltero,2.4,con padres,conjunto,4,mixto,privado,0,1–3 km,dos veces a la semana,transporte privado,bajo,grave,nunca,nunca,ocasional,nunca,casi siempre,a veces,casi siempre,casi nunca,bajo
adolescencia temprana,masculino,sí,clase media-baja,pequeño,secundaria,secundaria,casado,4.4,con padres,nuclear,4,unisexo,privado,3,1–3 km,nunca,transporte privado,bajo,moderado,ocasional,regular,regular,regular,casi nunca,bastante a menudo,bastante a menudo,casi nunca,bajo
adolescencia tardía,masculino,no,alta,mediano,licenciatura,sin educación,divorciado,0.2,albergue,nuclear,5,unisexo,público,1,menos de 1 km,dos veces a la semana,a pie,alto,leve,nunca,ocasional,ocasional,nunca,bastante a menudo,a veces,casi nunca,rara vez,bajo
adolescencia temprana,femenino,sí,alta,pequeño,licenciatura,preparatoria,divorciado,0.0,con padres,conjunto,4,unisexo,privado,3,1–3 km,casi todos los días,a pie,alto,moderado,nunca,regular,ocasional,ocasional,casi nunca,rara vez,bastante a menudo,bastante a menudo,bajo
otros,femenino,sí,clase media-baja,pequeño,sin educación,licenciatura,separado,2.8,con padres,nuclear,3,unisexo,público,1,menos de 1 km,dos veces a la semana,transporte privado,bajo,mayor,regular,regular,nunca,nunca,casi siempre,a veces,bastante a menudo,rara vez,bajo
adolescencia temprana,masculino,no,clase media-alta,pequeño,primaria,licenciatura,separado,2.5,albergue,conjunto,1,mixto,privado,0,más de 5 km,casi todos los días,transporte público,alto,grave,ocasional,nunca,regular,ocasional,casi nunca,casi siempre,bastante a menudo,casi nunca,moderado
adolescencia tardía,masculino,sí,clase media-baja,grande,licenciatura,posgrado,separado,2.7,con familiares,nuclear,5,unisexo,público,3,3–5 km,una vez a la semana,transporte público,bajo,leve,regular,nunca,nunca,nunca,bastante a menudo,casi siempre,casi siempre,algunas veces,bajo
adolescencia media,femenino,no,clase baja,mediano,primaria,sin educación,divorciado,2.2,albergue,nuclear,4,mixto,público,3,menos de 1 km,nunca,transporte público,moderado,muy poco estrés,nunca,ocasional,ocasional,nunca,rara vez,bastante a menudo,rara vez,algunas veces,bajo
adolescencia media,femenino,sí,clase media-alta,grande,posgrado,secundaria,divorciado,4.4,con familiares,nuclear,3,mixto,privado,0,más de 5 km,casi todos los días,a pie,bajo,grave,regular,ocasional,regular,regular,casi siempre,bastante a menudo,algunas veces,bastante a menudo,bajo
adolescencia temprana,masculino,no,clase media-alta,mediano,preparatoria,licenciatura,separado,1.6,con padres,nuclear,5,unisexo,público,2,1–3 km,dos veces a la semana,transporte público,alto,moderado,regular,nunca,ocasional,ocasional,bastante a menudo,bastante a menudo,casi nunca,algunas veces,bajo
adolescencia temprana,femenino,no,clase media-baja,mediano,secundaria,licenciatura,soltero,1.6,albergue,conjunto,5,unisexo,privado,3,3–5 km,dos veces a la semana,a pie,moderado,muy poco estrés,ocasional,regular,nunca,regular,bastante a menudo,a veces,casi nunca,rara vez,bajo
adolescencia tardía,masculino,no,clase media-baja,grande,licenciatura,licenciatura,casado,4.4,con padres,conjunto,1,unisexo,privado,5,menos de 1 km,casi todos los días,a pie,bajo,grave,ocasional,regular,ocasional,regular,bastante a menudo,casi siempre,casi siempre,casi siempre,bajo
adolescencia tardía,femenino,sí,clase baja,grande,primaria,primaria,casado,2.8,con padres,nuclear,3,mixto,privado,1,menos de 1 km,nunca,transporte público,bajo,moderado,regular,nunca,ocasional,nunca,rara vez,rara vez,algunas veces,casi nunca,bajo
otros,femenino,no,alta,mediano,secundaria,sin educación,viudo,3.3,con familiares,nuclear,3,mixto,público,5,1–3 km,casi todos los días,transporte privado,moderado,muy poco estrés,regular,ocasional,ocasional,ocasional,casi siempre,casi nunca,algunas veces,algunas veces,moderado
otros,femenino,no,clase media-alta,pequeño,primaria,sin educación,viudo,0.8,con familiares,nuclear,2,mixto,privado,0,menos de 1 km,casi todos los días,transporte privado,bajo,leve,nunca,regular,regular,nunca,algunas veces,bastante a menudo,algunas veces,algunas veces,bajo
otros,masculino,no,clase media-alta,grande,secundaria,secundaria,casado,0.8,albergue,conjunto,3,unisexo,público,5,1–3 km,casi todos los días,a pie,moderado,mayor,nunca,nunca,nunca,regular,algunas veces,casi nunca,rara vez,algunas veces,bajo
otros,femenino,sí,alta,grande,preparatoria,posgrado,viudo,3.1,con familiares,nuclear,5,unisexo,público,2,más de 5 km,casi todos los días,transporte público,alto,moderado,ocasional,regular,ocasional,nunca,algunas veces,rara vez,rara vez,algunas veces,moderado
adolescencia temprana,masculino,sí,alta,grande,sin educación,preparatoria,casado,1.2,con padres,nuclear,3,mixto,público,3,más de 5 km,casi todos los días,a pie,alto,grave,nunca,regular,ocasional,nunca,rara vez,bastante a menudo,bastante a menudo,rara vez,bajo
adolescencia tardía,masculino,no,clase media-alta,pequeño,preparatoria,primaria,divorciado,0.7,con familiares,conjunto,4,mixto,público,4,3–5 km,dos veces a la semana,transporte privado,alto,moderado,regular,ocasional,regular,nunca,bastante a menudo,casi siempre,rara vez,casi siempre,bajo
adolescencia media,masculino,sí,clase baja,grande,posgrado,licenciatura,soltero,3.3,con familiares,conjunto,4,unisexo,privado,4,3–5 km,una vez a la semana,a pie,moderado,muy poco estrés,regular,ocasional,ocasional,nunca,bastante a menudo,casi nunca,bastante a menudo,casi siempre,moderado
adolescencia tardía,femenino,no,clase media-alta,mediano,licenciatura,secundaria,soltero,4.1,albergue,nuclear,2,mixto,privado,6,menos de 1 km,casi todos los días,a pie,alto,muy poco estrés,ocasional,ocasional,nunca,ocasional,rara vez,casi nunca,casi nunca,rara vez,moderado
adolescencia temprana,masculino,no,clase baja,pequeño,licenciatura,sin educación,separado,3.2,con familiares,nuclear,3,unisexo,privado,5,3–5 km,dos veces a la semana,transporte privado,bajo,moderado,ocasional,ocasional,regular,nunca,algunas veces,casi siempre,bastante a menudo,algunas veces,bajo
adolescencia temprana,masculino,no,clase media-baja,pequeño,licenciatura,licenciatura,soltero,0.7,albergue,nuclear,5,unisexo,público,7,menos de 1 km,nunca,transporte público,moderado,grave,regular,ocasional,regular,regular,rara vez,rara vez,algunas veces,algunas veces,bajo
otros,masculino,sí,clase baja,mediano,posgrado,posgrado,divorciado,2.1,albergue,nuclear,3,mixto,privado,3,3–5 km,una vez a la semana,transporte privado,alto,muy poco estrés,regular,regular,regular,ocasional,rara vez,bastante a menudo,bastante a menudo,rara vez,bajo
adolescencia media,femenino,no,clase media-baja,grande,secundaria,sin educación,divorciado,3.6,con familiares,conjunto,1,unisexo,privado,5,menos de 1 km,nunca,transporte público,alto,leve,nunca,regular,nunca,nunca,algunas veces,casi siempre,bastante a menudo,casi nunca,moderado
adolescencia media,masculino,sí,clase baja,mediano,licenciatura,preparatoria,separado,1.9,con familiares,nuclear,5,unisexo,privado,2,más de 5 km,una vez a la semana,transporte privado,moderado,mayor,nunca,regular,regular,ocasional,casi siempre,bastante a menudo,rara vez,bastante a menudo,bajo
otros,femenino,sí,clase media-baja,grande,preparatoria,posgrado,divorciado,2.7,albergue,conjunto,2,unisexo,público,7,más de 5 km,dos veces a la semana,a pie,moderado,mayor,nunca,ocasional,ocasional,ocasional,algunas veces,casi nunca,algunas veces,algunas veces,moderado
otros,femenino,no,alta,mediano,secundaria,preparatoria,soltero,3.2,con familiares,nuclear,5,mixto,privado,1,menos de 1 km,casi todos los días,a pie,alto,mayor,nunca,nunca,nunca,regular,casi nunca,rara vez,casi nunca,algunas veces,moderado
otros,masculino,no,clase baja,pequeño,licenciatura,primaria,viudo,4.5,con familiares,conjunto,1,unisexo,público,5,1–3 km,nunca,transporte privado,moderado,mayor,regular,ocasional,regular,regular,rara vez,bastante a menudo,casi nunca,algunas veces,moderado
adolescencia temprana,femenino,no,clase media-alta,grande,posgrado,posgrado,divorciado,4.8,con padres,conjunto,2,mixto,público,3,más de 5 km,casi todos los días,transporte privado,bajo,leve,nunca,regular,ocasional,regular,algunas veces,rara vez,algunas veces,casi nunca,bajo
adolescencia temprana,femenino,sí,clase baja,mediano,primaria,secundaria,separado,2.6,con padres,conjunto,4,unisexo,público,4,menos de 1 km,una vez a la semana,a pie,moderado,grave,nunca,nunca,ocasional,regular,algunas veces,casi siempre,bastante a menudo,casi siempre,moderado
adolescencia media,femenino,no,alta,grande,sin educación,preparatoria,separado,1.3,con familiares,nuclear,4,mixto,privado,2,más de 5 km,una vez a la semana,transporte privado,alto,grave,regular,ocasional,regular,nunca,casi nunca,casi nunca,bastante a menudo,bastante a menudo,bajo
adolescencia media,masculino,sí,clase media-alta,grande,licenciatura,sin educación,viudo,2.8,con familiares,nuclear,3,mixto,público,0,menos de 1 km,nunca,transporte privado,moderado,moderado,regular,nunca,regular,ocasional,algunas veces,a veces,bastante a menudo,rara vez,moderado
adolescencia tardía,femenino,no,clase media-alta,grande,secundaria,sin educación,casado,1.2,con padres,nuclear,4,unisexo,privado,2,menos de 1 km,una vez a la semana,transporte público,alto,leve,nunca,nunca,ocasional,ocasional,casi nunca,casi nunca,casi nunca,casi siempre,bajo
